Updated On,State,Total Individuals Vaccinated,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,18-45 years (Age),45-60 years (Age),60+ years (Age),Total Doses Administered
27-02-2021,Jharkhand,289681,9256,566,289681,23757,153123,136554,27397,262284,,,,313438
28-02-2021,Jharkhand,289681,9564,576,289681,23757,153123,136554,27397,262284,,,,313438
01-03-2021,Jharkhand,289681,10358,593,289681,23757,153123,136554,27397,262284,,,,313438
02-03-2021,Jharkhand,300236,11146,608,300236,32050,159817,140414,29427,270809,,,,332286
03-03-2021,Jharkhand,312092,12106,638,312092,38624,166810,145277,31379,280713,,,,350716
04-03-2021,Jharkhand,323632,12792,696,323632,44761,173869,149757,32738,290894,,,,368393
05-03-2021,Jharkhand,336342,13811,725,336342,53101,181201,155135,34287,302055,,,,389443
06-03-2021,Jharkhand,349329,14845,756,349329,60890,188718,160605,35706,313623,,,,410219
07-03-2021,Jharkhand,353354,15782,771,353354,63433,190871,162476,36088,317266,,,,416787
08-03-2021,Jharkhand,368526,16553,791,368526,74228,199183,169335,37255,331271,,,,442754
09-03-2021,Jharkhand,402293,51500,408,313825,88468,216341,185943,39169,363112,,,,402293
10-03-2021,Jharkhand,433106,61100,491,328716,104390,233278,199819,40527,392567,,,,433106
11-03-2021,Jharkhand,448191,61950,502,337413,110778,242546,205635,41027,407152,,,,448191
12-03-2021,Jharkhand,480023,76900,636,354643,125380,260117,219893,42058,437953,,,,480023
13-03-2021,Jharkhand,506986,77700,638,369293,137693,276148,230825,43197,463777,,,,506986
14-03-2021,Jharkhand,526061,68900,594,381922,144139,286808,239239,43659,482390,,,,526061
15-03-2021,Jharkhand,564865,96400,833,406491,158374,307563,257286,45177,519676,,,,564865
16-03-2021,Jharkhand,520822,92800,813,520822,170592,280951,239854,48441,642973,201633,183428,135477,691414
17-03-2021,Jharkhand,566563,97901,862,566563,180911,305683,260854,53167,694307,205113,193220,167940,747474
18-03-2021,Jharkhand,589818,92300,823,589818,189868,318421,271369,55383,724303,207969,199537,182020,779686
19-03-2021,Jharkhand,617091,101500,914,617091,198038,332732,284325,57862,757267,211099,206719,198976,815129
20-03-2021,Jharkhand,716690,240201,1962,716690,206098,381265,335384,65479,857309,215048,227599,273736,922788
21-03-2021,Jharkhand,877428,227800,1925,877428,210129,456442,420924,73772,1013785,218505,268053,390545,1087557
22-03-2021,Jharkhand,914943,115200,1075,914943,216222,474853,440025,77510,1053655,220657,279210,414747,1131165
23-03-2021,Jharkhand,1062427,260950,2215,1062427,224252,544350,517999,95779,1190900,224755,317698,519626,1286679
24-03-2021,Jharkhand,1177165,266351,2266,1177165,229258,598473,578599,115969,1290454,227707,349980,599119,1406423
25-03-2021,Jharkhand,1214880,122750,1111,1214880,233185,616972,597812,125607,1322458,229224,360189,625106,1448065
26-03-2021,Jharkhand,1273664,213450,1868,1273664,236500,644518,629042,161360,1348804,231011,376213,666077,1510164
27-03-2021,Jharkhand,1370655,235551,1974,1370655,239263,689612,680932,176781,1433137,233516,406271,730497,1609918
28-03-2021,Jharkhand,1384612,74400,648,1384612,239398,695904,688597,178154,1445856,233782,412051,738407,1624010
29-03-2021,Jharkhand,1386163,54551,452,1386163,239499,696602,689450,178278,1447384,233795,412681,739315,1625662
30-03-2021,Jharkhand,1394924,84999,745,1394924,241635,701132,693681,180616,1455943,234350,415915,744287,1636559
31-03-2021,Jharkhand,1415140,110550,998,1415140,245816,711492,703536,183387,1477569,235592,423518,755656,1660956
01-04-2021,Jharkhand,1437104,109400,972,1437104,249290,723006,713986,185253,1501141,236525,436670,763535,1686394
02-04-2021,Jharkhand,1475614,103750,942,1475614,253503,743240,732254,187646,1541471,238081,461780,775380,1729117
03-04-2021,Jharkhand,1501006,100650,918,1501006,257067,757066,743818,188887,1569186,239163,478722,782748,1758073
04-04-2021,Jharkhand,1578359,193470,1659,1578359,261144,795067,783168,191267,1648236,240091,530510,807382,1839503
05-04-2021,Jharkhand,1649049,221800,1926,1649049,264591,829452,819465,192540,1721100,240199,577383,831089,1913640
06-04-2021,Jharkhand,1705435,127750,1148,1705435,267846,856890,848407,193574,1779707,240337,615546,849173,1973281
07-04-2021,Jharkhand,1788075,226100,2000,1788075,274683,898543,889385,196170,1866588,240495,672156,875044,2062758
08-04-2021,Jharkhand,1855020,197400,1788,1855020,279807,932330,922535,198353,1936474,240629,717453,896558,2134827
09-04-2021,Jharkhand,1879293,137050,1221,1879293,283324,945139,933996,202123,1960494,240862,733544,904507,2162617
10-04-2021,Jharkhand,1970433,243290,2194,1970433,289690,990122,980141,206072,2054051,241396,795183,933474,2260123
11-04-2021,Jharkhand,2065113,257850,2322,2065113,294571,1036840,1028092,208265,2151419,241866,859189,963677,2359684
12-04-2021,Jharkhand,2127045,184150,1640,2127045,302111,1070180,1056672,210623,2218533,242559,901279,982828,2429156
13-04-2021,Jharkhand,2196926,260301,2304,2196926,308781,1107805,1088922,212617,2293090,243597,948713,1004238,2505707
14-04-2021,Jharkhand,2279843,253700,2286,2279843,315875,1150162,1129470,214501,2381217,244558,1004628,1030279,2595718
15-04-2021,Jharkhand,2318245,175650,1614,2318245,322527,1171510,1146520,216038,2424734,245336,1030821,1041710,2640772
16-04-2021,Jharkhand,2351517,283920,2408,2351517,330232,1190884,1160415,217591,2464158,246475,1053272,1051391,2681749
17-04-2021,Jharkhand,2393775,305600,2662,2393775,339689,1214184,1179366,218889,2514575,247686,1081824,1063884,2733464
18-04-2021,Jharkhand,2427024,223350,2077,2427024,348238,1231702,1195094,220573,2554689,248538,1103181,1074924,2775262
19-04-2021,Jharkhand,2449014,291000,2518,2449014,358529,1244634,1204150,222787,2584756,249397,1117568,1081666,2807543
20-04-2021,Jharkhand,2477515,326351,2839,2477515,371204,1260887,1216395,227604,2621115,250163,1135658,1091311,2848719
21-04-2021,Jharkhand,2496708,226370,2052,2496708,380745,1271782,1224689,231690,2645763,250666,1148079,1097580,2877453
22-04-2021,Jharkhand,2512136,252950,2247,2512136,389739,1281274,1230623,235917,2665958,251465,1158549,1101738,2901875
23-04-2021,Jharkhand,2532881,310601,2656,2532881,402484,1293553,1239087,242888,2692477,252666,1172013,1107813,2935365
24-04-2021,Jharkhand,2550782,188800,1688,2550782,414239,1303973,1246566,251321,2713700,253964,1183820,1112609,2965021
25-04-2021,Jharkhand,2558670,113300,1039,2558670,419195,1308648,1249778,255987,2721878,254592,1189134,1114554,2977865
26-04-2021,Jharkhand,2574711,193750,1739,2574711,430606,1317847,1256616,266107,2739210,255742,1199207,1119371,3005317
27-04-2021,Jharkhand,2589148,199500,1810,2589148,439976,1326494,1262405,275310,2753814,331982,1133560,1123213,3029124
28-04-2021,Jharkhand,2603179,126300,1146,2603179,449903,1334639,1268287,282093,2770989,333390,1142258,1127136,3053082
29-04-2021,Jharkhand,2619343,178450,1576,2619343,463774,1344030,1275058,290291,2792826,335097,1152364,1131586,3083117
30-04-2021,Jharkhand,2635993,186850,1640,2635993,478132,1353708,1282028,298246,2815879,337396,1162376,1135916,3114125
01-05-2021,Jharkhand,2647485,163150,1499,2647485,488195,1360718,1286510,303722,2831958,339610,1168793,1138777,3135680
02-05-2021,Jharkhand,2653112,209100,1840,2653112,493687,1364039,1288816,306394,2840405,338258,1174399,1140180,3146799
03-05-2021,Jharkhand,2661873,234750,2054,2661873,504125,1369364,1292251,310644,2855354,339982,1179316,1142300,3165998
04-05-2021,Jharkhand,2671304,135750,1247,2671304,515180,1375124,1295918,314835,2871649,341886,1184573,1144567,3186484
05-05-2021,Jharkhand,2681933,243350,2128,2681933,529961,1381596,1300073,319092,2892802,344096,1190246,1147312,3211894
06-05-2021,Jharkhand,2691611,206250,1842,2691611,541575,1387433,1303911,323010,2910176,346204,1195591,1149536,3233186
07-05-2021,Jharkhand,2702393,147300,1331,2702393,554939,1393906,1308219,328316,2929016,348582,1201375,1152156,3257332
08-05-2021,Jharkhand,2714194,239790,2102,2714194,570608,1401048,1312875,335224,2949578,351184,1207565,1155164,3284802
09-05-2021,Jharkhand,2722859,233300,2013,2722859,580144,1406035,1316552,339761,2963242,352454,1212577,1157547,3303003
10-05-2021,Jharkhand,2738946,185550,1572,2738946,597692,1415468,1323205,348346,2988292,354942,1221915,1161786,3336638
11-05-2021,Jharkhand,2754830,252550,2123,2754830,618241,1424853,1329701,356554,3016517,357865,1230561,1166086,3373071
12-05-2021,Jharkhand,2769962,260350,2143,2769962,632691,1433720,1335959,365329,3037324,360633,1239074,1169930,3402653
13-05-2021,Jharkhand,2782611,174200,1392,2782611,646199,1441026,1341301,371456,3057354,363176,1246066,1173037,3428810
14-05-2021,Jharkhand,2825315,232425,1482,2825315,654739,1468779,1356250,390932,3089122,397079,1252118,1175742,3480054
15-05-2021,Jharkhand,2876996,266006,1642,2876996,664502,1501678,1375010,414774,3126724,439629,1258483,1178475,3541498
16-05-2021,Jharkhand,2919090,243237,1619,2919090,666084,1528357,1390409,427393,3157781,476184,1262553,1179926,3585174
17-05-2021,Jharkhand,2972741,216786,1267,2972741,667902,1562216,1410182,439574,3201069,519148,1270559,1182566,3640643
18-05-2021,Jharkhand,3023461,233960,1388,3023461,669091,1594503,1428598,449565,3242987,560222,1277965,1184761,3692552
19-05-2021,Jharkhand,3072388,254732,1597,3072388,670823,1624892,1447120,459652,3283559,600462,1284612,1186765,3743211
20-05-2021,Jharkhand,3118200,196895,1129,3118200,672968,1653512,1464296,466974,3324194,638672,1290462,1188477,3791168
21-05-2021,Jharkhand,3165104,230064,1438,3165104,674991,1682802,1481895,473899,3366196,678039,1296239,1190195,3840095
22-05-2021,Jharkhand,3200833,240096,1594,3200833,676702,1705242,1495175,479462,3398073,706753,1301724,1191703,3877535
23-05-2021,Jharkhand,3243983,203426,1248,3243983,678632,1732043,1511498,483529,3439086,744826,1305635,1192842,3922615
24-05-2021,Jharkhand,3291812,266203,1687,3291812,681206,1760837,1530505,488613,3484405,784870,1311628,1194588,3973018
25-05-2021,Jharkhand,3328296,243621,1544,3328296,684361,1783062,1544751,494210,3518447,813646,1317424,1196483,4012657
26-05-2021,Jharkhand,3350619,177050,1073,3350619,686501,1796704,1553425,497805,3539315,831666,1320823,1197366,4037120
27-05-2021,Jharkhand,3365244,166004,973,3365244,688418,1805516,1559234,500385,3553277,842449,1323692,1198316,4053662
28-05-2021,Jharkhand,3391607,198164,1040,3391607,693298,1821194,1569914,507584,3577321,861481,1328867,1200453,4084905
29-05-2021,Jharkhand,3424365,216386,1069,3424365,699902,1840658,1583200,517383,3606884,884004,1336102,1203413,4124267
30-05-2021,Jharkhand,3452239,181414,895,3452239,704537,1856821,1594907,523909,3632867,902489,1343019,1205864,4156776
31-05-2021,Jharkhand,3484293,231286,1105,3484293,710059,1874952,1608823,533344,3661008,921240,1352798,1209346,4194352
01-06-2021,Jharkhand,3512443,216804,1048,3512443,715070,1891028,1620893,543490,3684023,936929,1362009,1212562,4227513
02-06-2021,Jharkhand,3545235,211775,1070,3545235,721185,1909179,1635524,559482,3706938,954651,1372839,1216777,4266420
03-06-2021,Jharkhand,3580164,195799,1003,3580164,726194,1929268,1650356,581158,3725200,976538,1382438,1220188,4306358
04-06-2021,Jharkhand,3646348,362934,1532,3646348,732293,1967427,1678353,597383,3781258,1024326,1396188,1224782,4378641
05-06-2021,Jharkhand,3732019,388228,1706,3732019,738702,2017158,1714267,614300,3856421,1085772,1414178,1230951,4470721
06-06-2021,Jharkhand,3806892,374040,1708,3806892,742873,2060048,1746230,630289,3919476,1134196,1434033,1237492,4549765
07-06-2021,Jharkhand,3864177,283108,1311,3864177,749037,2092976,1770569,643971,3969243,1170688,1449214,1243042,4613214
08-06-2021,Jharkhand,,,,,,,,,,,,,
16-01-2021,Karnataka,3810,256,235,3810,0,1835,1975,78,3732,,,,3810
17-01-2021,Karnataka,4506,1385,1139,4506,0,2373,2133,82,4424,,,,4506
18-01-2021,Karnataka,14755,1999,1502,14755,0,6122,8633,299,14456,,,,14755
19-01-2021,Karnataka,25142,2788,1993,25142,0,10492,14649,443,24699,,,,25142
20-01-2021,Karnataka,36705,3687,2517,36705,0,13421,23283,547,36158,,,,36705
21-01-2021,Karnataka,47344,4761,3098,47344,0,17664,29669,670,46674,,,,47344
22-01-2021,Karnataka,77432,5156,3252,77432,0,26356,51065,818,76614,,,,77432
23-01-2021,Karnataka,84585,5591,3435,84585,0,28948,55626,842,83743,,,,84585
24-01-2021,Karnataka,93426,6385,3748,93426,0,31342,62056,889,92537,,,,93426
25-01-2021,Karnataka,138721,6782,3884,138721,0,43880,94811,1186,137535,,,,138721
26-01-2021,Karnataka,140856,7473,4122,140856,0,44244,96582,1407,139449,,,,140856
27-01-2021,Karnataka,196089,8018,4235,196089,0,59653,136401,2208,193881,,,,196089
28-01-2021,Karnataka,215875,8574,4347,215875,0,67383,148457,2738,213137,,,,215875
29-01-2021,Karnataka,234619,8839,4371,234619,0,74482,160102,2912,231707,,,,234619
30-01-2021,Karnataka,246438,8951,4391,246438,0,79670,166730,3230,243208,,,,246438
31-01-2021,Karnataka,247613,9027,4393,247613,0,80048,167527,3237,244376,,,,247613
01-02-2021,Karnataka,249931,9098,4408,249931,0,80913,168980,3237,246694,,,,249931
02-02-2021,Karnataka,250715,9273,4455,250715,0,81212,169465,3237,247478,,,,250715
03-02-2021,Karnataka,251723,9830,4554,251723,0,81635,170050,3237,248486,,,,251723
04-02-2021,Karnataka,265577,10732,4689,265577,0,86565,178974,3347,262230,,,,265577
05-02-2021,Karnataka,295307,11583,4794,295307,0,95612,199636,3611,291696,,,,295307
06-02-2021,Karnataka,321521,12094,4900,321521,0,103745,217707,3960,317561,,,,321521
07-02-2021,Karnataka,325554,12737,5064,325554,0,105648,219837,4641,320913,,,,325554
08-02-2021,Karnataka,350327,13474,5173,350327,0,121975,228283,4714,345613,,,,350327
09-02-2021,Karnataka,379152,14071,5259,379152,0,142146,236937,4754,374398,,,,379152
10-02-2021,Karnataka,403105,14562,5326,403105,0,160426,242606,4760,398345,,,,403105
11-02-2021,Karnataka,415241,15207,5443,415241,0,169589,245579,4772,410469,,,,415241
12-02-2021,Karnataka,430303,15543,5492,430303,0,179657,250572,4782,425521,,,,430303
13-02-2021,Karnataka,435670,15719,5547,435670,15,183096,252500,4782,430888,,,,435685
14-02-2021,Karnataka,435820,16274,5560,435820,15,183220,252526,4782,431038,,,,435835
15-02-2021,Karnataka,451537,17101,5594,451537,11301,190356,261104,5059,446478,,,,462838
16-02-2021,Karnataka,473092,18099,5614,473092,28526,197243,275768,5293,467799,,,,501618
17-02-2021,Karnataka,505305,18868,5644,505305,54739,205586,299633,5607,499698,,,,560044
18-02-2021,Karnataka,472428,19974,5673,472428,65249,203839,268504,5433,466995,,,,537677
19-02-2021,Karnataka,535611,20768,5706,535611,101757,222648,312875,5833,529778,,,,637368
20-02-2021,Karnataka,546779,21643,5735,546779,117081,230000,316691,5873,540906,,,,663860
21-02-2021,Karnataka,547587,25428,5842,547587,117993,230535,316962,5873,541714,,,,665580
22-02-2021,Karnataka,560544,27219,5866,560544,144539,238783,321671,5965,554579,,,,705083
23-02-2021,Karnataka,575708,27768,5878,575708,163084,248773,326853,6079,569629,,,,738792
24-02-2021,Karnataka,592088,28762,5890,592088,185306,259552,332454,6250,585838,,,,777394
25-02-2021,Karnataka,601961,30150,5908,601961,200140,266242,335637,6321,595640,,,,802101
26-02-2021,Karnataka,611335,30377,5911,611335,221690,272970,338283,6374,604961,,,,833025
27-02-2021,Karnataka,611335,30377,5911,611335,221690,272970,338283,6374,604961,,,,833025
28-02-2021,Karnataka,611335,30421,5915,611335,221690,272970,338283,6374,604961,,,,833025
01-03-2021,Karnataka,611335,31389,5974,611335,221690,272970,338283,6374,604961,,,,833025
02-03-2021,Karnataka,621289,32414,5990,621289,224437,279192,342014,6415,614874,,,,845726
03-03-2021,Karnataka,633181,33347,6002,633181,227236,286197,346903,6447,626734,,,,860417
04-03-2021,Karnataka,645171,34949,6019,645171,230426,292928,352160,6498,638673,,,,875597
05-03-2021,Karnataka,661097,41281,6039,661097,236171,301588,359425,6536,654561,,,,897268
06-03-2021,Karnataka,678604,56159,6132,678604,244803,310707,367813,6561,672043,,,,923407
07-03-2021,Karnataka,680182,65298,6200,680182,245649,311451,368647,6560,673622,,,,925831
08-03-2021,Karnataka,729461,68505,6238,729461,264921,336214,393159,6613,722848,,,,994382
09-03-2021,Karnataka,788948,163150,1144,511728,277220,364689,424140,7220,781675,,,,788948
10-03-2021,Karnataka,879486,359585,2887,581668,297818,410153,469202,7364,872069,,,,879486
11-03-2021,Karnataka,895719,104812,624,594042,301677,418172,477414,7364,888302,,,,895719
12-03-2021,Karnataka,998460,388300,3094,680155,318305,471306,527012,7523,990884,,,,998460
13-03-2021,Karnataka,1048543,237140,1747,723061,325482,496703,551696,7646,1040844,,,,1048543
14-03-2021,Karnataka,1067628,104350,693,741104,326524,505972,561510,7673,1059902,,,,1067628
15-03-2021,Karnataka,1233619,408780,3284,893702,339917,588259,645203,9180,1224386,,,,1233619
16-03-2021,Karnataka,1271286,274440,2057,1271286,350545,608554,662594,16074,1605757,449054,369813,451073,1621831
17-03-2021,Karnataka,1649513,427880,3444,1649513,364124,792662,856669,21237,1992400,460322,444273,743513,2013637
18-03-2021,Karnataka,1752016,268930,1958,1752016,372412,842262,909560,28245,2096183,467911,472520,810161,2124428
19-03-2021,Karnataka,1987433,443280,3548,1987433,384130,952427,1034791,40560,2331003,479656,532481,973825,2371563
20-03-2021,Karnataka,2182510,451230,3671,2182510,395770,1044384,1137892,66464,2511816,491694,588747,1100582,2578280
21-03-2021,Karnataka,2214176,144950,1097,2214176,397123,1059302,1154634,71413,2539886,494055,599127,1119499,2611299
22-03-2021,Karnataka,2399962,484730,3936,2399962,406168,1144372,1255328,110840,2695290,501768,647975,1248698,2806130
23-03-2021,Karnataka,2539195,375880,2994,2539195,415141,1209220,1329701,161808,2792528,511092,691509,1335057,2954336
24-03-2021,Karnataka,2716069,514570,4255,2716069,423965,1291036,1424740,226117,2913917,519756,742024,1452734,3140034
25-03-2021,Karnataka,2805919,327530,2592,2805919,428587,1333339,1472280,270281,2964225,524781,771216,1508363,3234506
26-03-2021,Karnataka,2960802,525850,4394,2960802,436180,1405527,1554963,323185,3073797,532652,819060,1607491,3396982
27-03-2021,Karnataka,3080769,447531,3717,3080769,441731,1461483,1618958,353843,3168657,540694,862219,1676249,3522500
28-03-2021,Karnataka,3100377,219350,1768,3100377,442243,1470931,1629114,356600,3186020,542239,869984,1686546,3542620
29-03-2021,Karnataka,3234131,522590,4326,3234131,448194,1531084,1702703,378391,3303934,548729,912209,1771571,3682325
30-03-2021,Karnataka,3346567,452550,3730,3346567,454366,1581954,1764252,395682,3405251,555147,953554,1836227,3800933
31-03-2021,Karnataka,3489527,541080,4529,3489527,462688,1647009,1842139,412737,3539478,563318,1004149,1920381,3952215
01-04-2021,Karnataka,3599566,452680,3875,3599566,467149,1698361,1900816,425440,3641275,567373,1067206,1963298,4066715
02-04-2021,Karnataka,3793071,514400,4568,3793071,473355,1788626,2004033,442763,3823663,573707,1185018,2032646,4266426
03-04-2021,Karnataka,3971518,591470,5431,3971518,479233,1871702,2099382,454895,3995856,579191,1292667,2097951,4450751
04-04-2021,Karnataka,4108669,510310,4510,4108669,483676,1936005,2172207,464461,4127884,583070,1380617,2143269,4592345
05-04-2021,Karnataka,4274168,675771,6103,4274168,490923,2009976,2263714,478207,4286884,583316,1480104,2209031,4765091
06-04-2021,Karnataka,4378738,705350,6304,4378738,495705,2057498,2320752,491658,4382785,583468,1546571,2246979,4874443
07-04-2021,Karnataka,4681696,743223,6734,4681696,511393,2194018,2487150,522784,4670305,583935,1734612,2361430,5193089
08-04-2021,Karnataka,4936256,739551,6527,4936256,526914,2310232,2625464,541190,4921980,584226,1893421,2456890,5463170
09-04-2021,Karnataka,5241266,817850,7338,5241266,546963,2451971,2788693,555182,5233047,586619,2086069,2566857,5788229
10-04-2021,Karnataka,5502062,752250,6838,5502062,564395,2575155,2926258,566845,5499612,589227,2254327,2656782,6066457
11-04-2021,Karnataka,5635988,692240,6163,5635988,572552,2640037,2995283,572077,5636463,590532,2340569,2703160,6208540
12-04-2021,Karnataka,5814005,779510,6980,5814005,593146,2729159,3084145,578395,5828756,593719,2454248,2764307,6407151
13-04-2021,Karnataka,5848181,679710,6051,5848181,598268,2747459,3100011,580152,5866297,594496,2477094,2774859,6446449
14-04-2021,Karnataka,5935191,702910,6246,5935191,615187,2789071,3145397,585978,5964400,595473,2533761,2804222,6550378
15-04-2021,Karnataka,6060959,713610,6219,6060959,643343,2847597,3212623,595970,6108332,597673,2611371,2850173,6704302
16-04-2021,Karnataka,6226534,753660,6538,6226534,683677,2925945,3299828,613354,6296857,601463,2714568,2908765,6910211
17-04-2021,Karnataka,6449119,740050,6682,6449119,742766,3031185,3417138,642055,6549830,606671,2855049,2985658,7191885
18-04-2021,Karnataka,6532361,707510,6265,6532361,764180,3071706,3459851,654574,6641967,608452,2908828,3013337,7296541
19-04-2021,Karnataka,6710926,810010,7256,6710926,831814,3157425,3552673,688768,6853972,613534,3016712,3078937,7542740
20-04-2021,Karnataka,6871164,829600,7385,6871164,897177,3236053,3634252,723260,7045081,619385,3114152,3135887,7768341
21-04-2021,Karnataka,7004724,774590,6960,7004724,952974,3302074,3701769,753927,7203771,624778,3195370,3182837,7957698
22-04-2021,Karnataka,7158532,802100,7148,7158532,1030733,3378086,3779537,788176,7401089,631531,3289216,3236032,8189265
23-04-2021,Karnataka,7334071,826360,7407,7334071,1112213,3469082,3864056,829495,7616789,642102,3398784,3291423,8446284
24-04-2021,Karnataka,7439115,700250,6474,7439115,1153723,3526465,3911703,854160,7738678,647456,3467982,3321906,8592838
25-04-2021,Karnataka,7495232,705670,6449,7495232,1178314,3556456,3937819,861190,7812356,650043,3504285,3339129,8673546
26-04-2021,Karnataka,7631765,763690,6974,7631765,1260334,3626966,4003824,882421,8009678,657068,3587685,3385235,8892099
27-04-2021,Karnataka,7750770,782540,7108,7750770,1337230,3687912,4061863,896837,8191163,810340,3513734,3424909,9088000
28-04-2021,Karnataka,7864503,698750,6546,7864503,1412470,3746951,4116541,908939,8368034,818650,3581901,3462155,9276973
29-04-2021,Karnataka,7940695,701840,6501,7940695,1459577,3788002,4151668,920031,8480241,825212,3628975,3485037,9400272
30-04-2021,Karnataka,8090917,749050,7030,8090917,1551522,3868438,4221433,930091,8712348,838459,3720768,3530178,9642439
01-05-2021,Karnataka,8178490,631535,6053,8178490,1598453,3915651,4261784,935680,8841263,847149,3775336,3554491,9776943
02-05-2021,Karnataka,8204770,532150,5106,8204770,1612748,3929605,4274104,938372,8879146,844933,3797125,3561286,9817518
03-05-2021,Karnataka,8253648,649720,6155,8253648,1647403,3956396,4296182,944843,8956208,851427,3825697,3575095,9901051
04-05-2021,Karnataka,8289078,615350,5857,8289078,1673657,3975921,4312066,950466,9012269,857692,3845675,3584267,9962735
05-05-2021,Karnataka,8387120,715825,6731,8387120,1763703,4028325,4357686,955020,9195803,870392,3901947,3613333,10150823
06-05-2021,Karnataka,8468403,665650,6306,8468403,1845787,4072788,4394486,960947,9353243,883378,3947529,3636041,10314190
07-05-2021,Karnataka,8527328,729950,6822,8527328,1923142,4104609,4421578,974772,9475698,892731,3978895,3654245,10450470
08-05-2021,Karnataka,8577077,694450,6532,8577077,2019817,4129814,4446112,996834,9600060,900271,4004044,3671301,10596894
09-05-2021,Karnataka,8591372,580800,5579,8591372,2051951,4137053,4453164,1005810,9637513,902905,4011205,3675799,10643323
10-05-2021,Karnataka,8638830,683600,6375,8638830,2133310,4162385,4475284,1019608,9752532,917054,4029967,3690259,10772140
11-05-2021,Karnataka,8718545,616070,5596,8718545,2244584,4207074,4510291,1029732,9933397,950533,4057444,3708914,10963129
12-05-2021,Karnataka,8792803,602683,5509,8792803,2309241,4248850,4542762,1040062,10061982,984192,4082490,3724394,11102044
13-05-2021,Karnataka,8851449,540350,4932,8851449,2354029,4282464,4567779,1050609,10154869,1019143,4097451,3733090,11205478
14-05-2021,Karnataka,8885120,563300,5332,8885120,2411388,4299852,4584048,1064149,10232359,1026689,4112585,3744042,11296508
15-05-2021,Karnataka,8927204,663200,6150,8927204,2497252,4321103,4604869,1100992,10323464,1036303,4131870,3757154,11424456
16-05-2021,Karnataka,8942960,512946,4641,8942960,2505886,4329123,4612604,1110213,10338633,1038989,4140964,3761117,11448846
17-05-2021,Karnataka,9017346,691059,5780,9017346,2526534,4368939,4647160,1132318,10411562,1050113,4187310,3777969,11543880
18-05-2021,Karnataka,9091077,645187,5381,9091077,2538100,4408566,4681252,1145476,10483701,1062623,4233121,3793325,11629177
19-05-2021,Karnataka,9162909,658018,5183,9162909,2551810,4447633,4714002,1164652,10550067,1077966,4275303,3807587,11714719
20-05-2021,Karnataka,9228494,687539,5186,9228494,2572335,4483874,4743327,1194325,10606504,1094743,4311852,3819793,11800829
21-05-2021,Karnataka,9307694,737343,5433,9307694,2601671,4527899,4778492,1235124,10674241,1115571,4355829,3834131,11909365
22-05-2021,Karnataka,9407939,802712,5443,9407939,2616652,4585205,4821418,1258645,10765946,1153521,4402999,3849150,12024591
23-05-2021,Karnataka,9468988,654657,4493,9468988,2621134,4622136,4845530,1264260,10825862,1187455,4423651,3855518,12090122
24-05-2021,Karnataka,9612835,909171,5523,9612835,2632703,4711060,4900416,1280434,10965104,1270697,4469404,3870221,12245538
25-05-2021,Karnataka,9770531,1005051,5439,9770531,2642084,4812574,4956588,1293886,11118729,1383685,4503561,3880639,12412615
26-05-2021,Karnataka,9939939,1115314,5795,9939939,2652288,4920646,5017905,1307789,11284438,1496490,4546853,3893722,12592227
27-05-2021,Karnataka,10154372,1185146,5520,10154372,2670851,5052063,5100876,1337833,11487390,1635875,4603441,3911921,12825223
28-05-2021,Karnataka,10393577,1255788,5746,10393577,2698768,5199787,5192314,1378841,11713504,1792515,4664922,3932691,13092345
29-05-2021,Karnataka,10625599,1196473,4979,10625599,2721031,5339822,5284257,1416080,11930550,1951062,4719698,3951109,13346630
30-05-2021,Karnataka,10709480,898354,3850,10709480,2730328,5389899,5318046,1432867,12006941,2011006,4737652,3956994,13439808
31-05-2021,Karnataka,10929687,1243336,4934,10929687,2753703,5519056,5409055,1472981,12210409,2154044,4795180,3976306,13683390
01-06-2021,Karnataka,11133566,1234927,4173,11133566,2772975,5639451,5492499,1510138,12396403,2293839,4843052,3992170,13906541
02-06-2021,Karnataka,11363561,1315234,4355,11363561,2791149,5772731,5589178,1547710,12607000,2452847,4895967,4009942,14154710
03-06-2021,Karnataka,11596660,1378346,4452,11596660,2811046,5908628,5686351,1584906,12822800,2626093,4939870,4025477,14407706
04-06-2021,Karnataka,11899361,1616711,5043,11899361,2836000,6081337,5816194,1624209,13111152,2838700,5006585,4048250,14735361
05-06-2021,Karnataka,12206183,1680845,5276,12206183,2862414,6253471,5950834,1665088,13403436,3034401,5089306,4076171,15068597
06-06-2021,Karnataka,12333182,1144187,3719,12333182,2870122,6321434,6009848,1676132,13526684,3122648,5118143,4085918,15203304
07-06-2021,Karnataka,12612607,1607382,5113,12612607,2891920,6475386,6135260,1702136,13801567,3296754,5195770,4113287,15504527
08-06-2021,Karnataka,,,,,,,,,,,,,
16-01-2021,Kerala,1681,147,134,1681,0,593,1088,0,1681,,,,1681
17-01-2021,Kerala,1836,317,156,1836,0,643,1193,0,1836,,,,1836
18-01-2021,Kerala,2566,488,180,2566,0,746,1820,0,2566,,,,2566
19-01-2021,Kerala,5355,544,185,5355,0,1529,3826,0,5355,,,,5355
20-01-2021,Kerala,5398,716,216,5398,0,1552,3846,0,5398,,,,5398
